,材料,试批号,实验屈服值,实验抗拉值,实验伸长率,牌号,钢种,出炉温度,加热时间,板坯厚度,中间坯厚度,粗轧压下率,精轧开轧温度,终轧温度,成品厚度,粗轧压缩比,精轧压缩比,C,Si,Mn,AlT,Nb,V,Ti,Ni,Cu,Cr,Mo,P,S,Ceq,Pcm,温度差
97,1318P08200,1LL023808500,346,445,28,SS400,ZA4D6100,1193,14109,264,75,0.246,941,833,21.9,3.52,3.425,0.16,0.19,0.45,0.032,0.002,0,0.002,0.02,0.02,0.04,0.01,0.013,0.0059,0.247666667,0.639,108
98,1326L86600,1LL025834500,341,467,28,SS400,ZA4D6100,1172,13868,264,90,0.183,864,800,36.1,2.933,2.493,0.16,0.18,0.36,0.029,0.001,0,0.002,0.02,0.04,0.04,0,0.016,0.0062,0.232,0.568,64
99,1326L88400,1LL025834600,314,461,29.5,SS400,ZA4D6100,1171,13969,264,89.99,0.185,866,824,36,2.934,2.5,0.16,0.18,0.36,0.029,0.001,0,0.002,0.02,0.04,0.04,0,0.016,0.0062,0.232,0.568,42
100,1326L97600,1LL025835500,366,452,28.5,SS400,ZA4D6100,1172,13917,264,90,0.187,886,834,36,2.933,2.5,0.17,0.16,0.36,0.032,0.001,0,0.003,0.01,0.03,0.03,0,0.015,0.004,0.238666667,0.566833333,52
101,1326L99600,1LL025835600,300,446,29.5,SS400,ZA4D6100,1185,15334,264,90,0.181,907,833,35.7,2.933,2.521,0.17,0.16,0.36,0.032,0.001,0,0.003,0.01,0.03,0.03,0,0.015,0.004,0.238666667,0.566833333,74
102,1326M01600,1LL025835700,290,435,29.5,SS400,ZA4D6100,1179,12419,264,89.99,0.189,885,837,36.1,2.934,2.493,0.17,0.16,0.36,0.032,0.001,0,0.003,0.01,0.03,0.03,0,0.015,0.004,0.238666667,0.566833333,48
103,1326M03600,1LL025836300,338,453,30,SS400,ZA4D6100,1164,15330,264,110,0.163,886,860,35.7,2.4,3.081,0.16,0.2,0.36,0.025,0,0,0.002,0.02,0.03,0.04,0.01,0.016,0.0051,0.233333333,0.559333333,26
104,1326M05600,1LL025836400,314,450,32,SS400,ZA4D6100,1152,12519,264,90,0.188,884,828,36.1,2.933,2.493,0.16,0.2,0.36,0.025,0,0,0.002,0.02,0.03,0.04,0.01,0.016,0.0051,0.233333333,0.559333333,56
105,1326M07600,1LL025836500,296,436,31,SS400,ZA4D6100,1170,12671,264,90,0.19,886,844,36.1,2.933,2.493,0.16,0.2,0.36,0.025,0,0,0.002,0.02,0.03,0.04,0.01,0.016,0.0051,0.233333333,0.559333333,42
106,1326M09600,1LL025836600,321,442,31,SS400,ZA4D6100,1176,12525,264,90,0.244,885,837,36.1,2.933,2.493,0.16,0.2,0.36,0.025,0,0,0.002,0.02,0.03,0.04,0.01,0.016,0.0051,0.233333333,0.559333333,48
107,1326M14800,1LL025837100,320,441,23.5,SS400,ZA4D6100,1173,12985,264,75,0.246,962,853,21.9,3.52,3.425,0.16,0.18,0.36,0.032,0,0,0.002,0.02,0.03,0.05,0.01,0.018,0.0028,0.235333333,0.559166667,109
108,1326M16800,1LL025837200,339,453,22.5,SS400,ZA4D6100,1171,13188,264,75,0.214,926,813,21.9,3.52,3.425,0.16,0.18,0.36,0.032,0,0,0.002,0.02,0.03,0.05,0.01,0.018,0.0028,0.235333333,0.559166667,113
109,1326M10600,1LL025837300,302,437,34.5,SS400,ZA4D6100,1164,12567,264,90,0.189,885,834,36.1,2.933,2.493,0.16,0.18,0.36,0.032,0,0,0.002,0.02,0.03,0.05,0.01,0.018,0.0028,0.235333333,0.559166667,51
110,1326M12600,1LL025837400,291,434,32.5,SS400,ZA4D6100,1160,12543,264,90,0.187,885,832,36.1,2.933,2.493,0.16,0.18,0.36,0.032,0,0,0.002,0.02,0.03,0.05,0.01,0.018,0.0028,0.235333333,0.559166667,53
111,1326L90800,1LL025837900,328,449,21,SS400,ZA4D6100,1172,14243,264,69.99,0.269,962,837,21.9,3.772,3.196,0.15,0.18,0.37,0.031,0.001,0,0.003,0.02,0.05,0.04,0,0.016,0.0045,0.224333333,0.578,125
112,1326L92800,1LL025838000,335,456,22,SS400,ZA4D6100,1179,14162,264,70,0.266,961,845,21.9,3.771,3.196,0.15,0.18,0.37,0.031,0.001,0,0.003,0.02,0.05,0.04,0,0.016,0.0045,0.224333333,0.578,116
113,1326L94800,1LL025838100,332,456,21.5,SS400,ZA4D6100,1174,14246,264,70,0.254,964,854,21.9,3.771,3.196,0.15,0.18,0.37,0.031,0.001,0,0.003,0.02,0.05,0.04,0,0.016,0.0045,0.224333333,0.578,110
114,1326L96800,1LL025838200,321,448,23.5,SS400,ZA4D6100,1176,14351,264,70,0.257,962,830,21.9,3.771,3.196,0.15,0.18,0.37,0.031,0.001,0,0.003,0.02,0.05,0.04,0,0.016,0.0045,0.224333333,0.578,132
115,1326M17800,1LL025838700,315,433,24,SS400,ZA4D6100,1167,13118,264,75,0.23,925,825,21.9,3.52,3.425,0.16,0.19,0.36,0.026,0,0,0.002,0.02,0.03,0.03,0.01,0.01,0.0049,0.231333333,0.5585,100
116,1326M58800,1LL025838800,302,429,27,SS400,ZA4D6100,1180,13150,264,75,0.241,962,846,21.9,3.52,3.425,0.16,0.19,0.36,0.026,0,0,0.002,0.02,0.03,0.03,0.01,0.01,0.0049,0.231333333,0.5585,116
117,1326M62800,1LL025838900,345,444,23.5,SS400,ZA4D6100,1176,12973,264,75,0.242,962,854,21.9,3.52,3.425,0.16,0.19,0.36,0.026,0,0,0.002,0.02,0.03,0.03,0.01,0.01,0.0049,0.231333333,0.5585,108
118,1326M64800,1LL025839000,320,447,27.5,SS400,ZA4D6100,1180,13005,264,75,0.247,963,846,21.9,3.52,3.425,0.16,0.19,0.36,0.026,0,0,0.002,0.02,0.03,0.03,0.01,0.01,0.0049,0.231333333,0.5585,117
119,1326M65800,1LL025839500,329,444,22.5,SS400,ZA4D6100,1190,12796,264,75,0.248,961,835,21.9,3.52,3.425,0.17,0.19,0.35,0.034,0,0,0.002,0.02,0.03,0.04,0,0.017,0.0026,0.239666667,0.558333333,126
120,1326M67800,1LL025839600,341,442,28.5,SS400,ZA4D6100,1161,15520,264,74.99,0.228,920,810,21.7,3.52,3.456,0.17,0.19,0.35,0.034,0,0,0.002,0.02,0.03,0.04,0,0.017,0.0026,0.239666667,0.558333333,110
121,1326M70800,1LL025839700,324,441,26,SS400,ZA4D6100,1190,12929,264,75,0.247,961,848,21.9,3.52,3.425,0.17,0.19,0.35,0.034,0,0,0.002,0.02,0.03,0.04,0,0.017,0.0026,0.239666667,0.558333333,113
122,1326M72800,1LL025839800,344,447,22,SS400,ZA4D6100,1190,12848,264,75,0.247,961,851,21.9,3.52,3.425,0.17,0.19,0.35,0.034,0,0,0.002,0.02,0.03,0.04,0,0.017,0.0026,0.239666667,0.558333333,110
123,1328P42300,1LL026054400,350,443,24.5,SS400,ZF4H6100,1187,14689,264,69.99,0.259,972,815,22.2,3.772,3.153,0.16,0.13,0.53,0.027,0.001,0,0.002,0.02,0.03,0.04,0.01,0.014,0.0048,0.261666667,0.727,157
124,1328P94400,1LL026056800,318,432,26,SS400,ZF4H6100,1172,11869,264,69.99,0.292,975,818,22.2,3.772,3.153,0.16,0.1,0.53,0.029,0.001,0,0.001,0.04,0.03,0.03,0.01,0.013,0.0033,0.261,0.7255,157
125,1328Q30800,1LL026107100,350,454,23.5,SS400,ZF4H6100,1198,12441,264,60,0.324,925,834,19.9,4.4,3.015,0.17,0.1,0.53,0.037,0.001,0,0.001,0.02,0.04,0.05,0.01,0.019,0.0086,0.274333333,0.7465,91
126,1328Q34500,1LL026107600,354,451,24,SS400,ZA4D6100,1197,12448,264,60,0.331,925,839,19.9,4.4,3.015,0.16,0.16,0.42,0.027,0.002,0,0.002,0.02,0.04,0.04,0.01,0.012,0.0043,0.244,0.628,86
127,1328Q37500,1LL026107700,315,433,28,SS400,ZA4D6100,1191,12434,264,59.99,0.339,926,854,19.9,4.401,3.015,0.16,0.16,0.42,0.027,0.002,0,0.002,0.02,0.04,0.04,0.01,0.012,0.0043,0.244,0.628,72
128,1328Q43500,1LL026107800,345,439,25.5,SS400,ZA4D6100,1189,11987,264,60,0.342,925,861,19.9,4.4,3.015,0.16,0.16,0.42,0.027,0.002,0,0.002,0.02,0.04,0.04,0.01,0.012,0.0043,0.244,0.628,64
129,1328Q48500,1LL026107900,328,437,28.5,SS400,ZA4D6100,1191,12138,264,60,0.344,926,848,19.9,4.4,3.015,0.16,0.16,0.42,0.027,0.002,0,0.002,0.02,0.04,0.04,0.01,0.012,0.0043,0.244,0.628,78
130,1328Q49500,1LL026108400,328,432,27,SS400,ZA4D6100,1186,12091,264,60,0.344,972,837,19.9,4.4,3.015,0.17,0.17,0.37,0.028,0.001,0,0.002,0.02,0.03,0.04,0,0.009,0.0039,0.243,0.577666667,135
131,1328Q56500,1LL026108500,322,432,27.5,SS400,ZA4D6100,1191,12123,264,60,0.346,977,838,19.9,4.4,3.015,0.17,0.17,0.37,0.028,0.001,0,0.002,0.02,0.03,0.04,0,0.009,0.0039,0.243,0.577666667,139
132,1328Q62500,1LL026108600,326,431,27,SS400,ZA4D6100,1190,12103,264,60,0.344,977,839,19.9,4.4,3.015,0.17,0.17,0.37,0.028,0.001,0,0.002,0.02,0.03,0.04,0,0.009,0.0039,0.243,0.577666667,138
133,1328Q64800,1LL026109200,310,425,27.5,SS400,ZA4D6100,1181,12269,264,60,0.335,976,845,19.9,4.4,3.015,0.16,0.17,0.36,0.028,0.001,0,0.004,0.02,0.04,0.03,0.01,0.01,0.0026,0.232,0.567833333,131
134,1328Q77500,1LL026109300,304,415,27.5,SS400,ZA4D6100,1197,12366,264,60,0.361,950,826,19.9,4.4,3.015,0.16,0.17,0.36,0.028,0.001,0,0.004,0.02,0.04,0.03,0.01,0.01,0.0026,0.232,0.567833333,124
135,1328Q82600,1LL026109400,350,446,27.5,SS400,ZA4D6100,1210,57364,264,75,0.249,943,853,21.9,3.52,3.425,0.16,0.17,0.36,0.028,0.001,0,0.004,0.02,0.04,0.03,0.01,0.01,0.0026,0.232,0.567833333,90
136,1328Q63400,1LL027161100,324,432,27,SS400,ZA4D6100,1187,12134,264,60,0.342,977,839,19.9,4.4,3.015,0.17,0.17,0.37,0.028,0.001,0,0.002,0.02,0.03,0.04,0,0.009,0.0039,0.243,0.577666667,138
137,1403K01600,1LL028320400,356,454,24,SS400,ZA4D6100,1210,15157,264,75,0.184,920,804,19.9,3.52,3.769,0.16,0.18,0.38,0.026,0.001,0,0.002,0.02,0.04,0.06,0.01,0.015,0.0043,0.241333333,0.589666667,116
138,1403K03600,1LL028320500,352,450,26,SS400,ZA4D6100,1193,15218,264,75,0.208,942,827,19.9,3.52,3.769,0.16,0.18,0.38,0.026,0.001,0,0.002,0.02,0.04,0.06,0.01,0.015,0.0043,0.241333333,0.589666667,115
139,1403K05800,1LL028320600,351,452,26.5,SS400,ZA4D6100,1201,15280,264,70,0.256,938,823,21.9,3.771,3.196,0.16,0.18,0.38,0.026,0.001,0,0.002,0.02,0.04,0.06,0.01,0.015,0.0043,0.241333333,0.589666667,115
140,1403K07400,1LL028320700,335,468,31,SS400,ZA4D6100,1151,13061,264,90,0.18,885,818,36.1,2.933,2.493,0.16,0.18,0.38,0.026,0.001,0,0.002,0.02,0.04,0.06,0.01,0.015,0.0043,0.241333333,0.589666667,67
141,1403K13800,1LL028323900,354,450,23.5,SS400,ZA4D6100,1194,15216,264,70,0.27,945,830,21.9,3.771,3.196,0.16,0.18,0.37,0.024,0.001,0,0.002,0.02,0.04,0.03,0.01,0.013,0.0027,0.233666667,0.578166667,115
142,1403K14400,1LL028324000,308,447,31.5,SS400,ZA4D6100,1147,12875,264,89.99,0.186,884,831,36.1,2.934,2.493,0.16,0.18,0.37,0.024,0.001,0,0.002,0.02,0.04,0.03,0.01,0.013,0.0027,0.233666667,0.578166667,53
143,1411N89800,1LL031025700,338,454,22,SS400,ZF4H6100,1175,11721,264,69.99,0.275,927,831,19.9,3.772,3.517,0.17,0.12,0.53,0.029,0.001,0.001,0.002,0.02,0.04,0.03,0,0.015,0.0083,0.268533333,0.7456,96
144,1411N90800,1LL031026700,293,433,28,SS400,ZA4D6100,1169,11645,264,70,0.276,926,836,19.9,3.771,3.518,0.16,0.18,0.4,0.034,0.001,0,0.005,0.02,0.04,0.04,0,0.022,0.0034,0.238666667,0.608,90
145,1411N93800,1LL031026800,319,427,24,SS400,ZA4D6100,1175,11807,264,69.99,0.279,927,839,19.9,3.772,3.517,0.16,0.18,0.4,0.034,0.001,0,0.005,0.02,0.04,0.04,0,0.022,0.0034,0.238666667,0.608,88
146,1411N96800,1LL031026900,329,438,27.5,SS400,ZA4D6100,1174,11822,264,70,0.278,927,836,19.9,3.771,3.518,0.16,0.18,0.4,0.034,0.001,0,0.005,0.02,0.04,0.04,0,0.022,0.0034,0.238666667,0.608,91
147,1411P05C00,1LL031027300,343,450,22.5,SS400,ZA4D6100,1218,17087,264,75,0.242,1136,855,9.9,3.52,7.576,0.17,0.18,0.38,0.031,0,0,0.003,0.02,0.03,0.06,0.01,0.019,0.0034,0.250666667,0.589666667,281
148,1411N99800,1LL031027400,322,439,26,SS400,ZA4D6100,1175,11424,264,70,0.278,926,832,19.9,3.771,3.518,0.17,0.18,0.38,0.031,0,0,0.003,0.02,0.03,0.06,0.01,0.019,0.0034,0.250666667,0.589666667,94
149,1411P02800,1LL031027500,380,459,24,SS400,ZA4D6100,1178,11616,264,70,0.278,926,833,19.9,3.771,3.518,0.17,0.18,0.38,0.031,0,0,0.003,0.02,0.03,0.06,0.01,0.019,0.0034,0.250666667,0.589666667,93
150,1411P11C00,1LL031027900,361,464,24.5,SS400,ZA4D6100,1223,16452,264,75,0.239,1087,817,9.9,3.52,7.576,0.17,0.19,0.36,0.033,0,0,0.002,0.02,0.03,0.05,0.01,0.022,0.0032,0.245333333,0.5695,270
151,1411P13A00,1LL031028000,375,449,23,SS400,ZA4D6100,1220,16203,264,75,0.247,1129,842,9.9,3.52,7.576,0.17,0.19,0.36,0.033,0,0,0.002,0.02,0.03,0.05,0.01,0.022,0.0032,0.245333333,0.5695,287
152,1411P15A00,1LL031028100,353,451,22,SS400,ZA4D6100,1222,16135,264,75,0.25,1138,842,9.9,3.52,7.576,0.17,0.19,0.36,0.033,0,0,0.002,0.02,0.03,0.05,0.01,0.022,0.0032,0.245333333,0.5695,296
153,1411P18A00,1LL031028500,320,444,25.5,SS400,ZA4D6100,1231,16006,264,75,0.25,1146,849,9.9,3.52,7.576,0.17,0.15,0.37,0.039,0.001,0,0.002,0.02,0.03,0.05,0.01,0.018,0.0024,0.247,0.578166667,297
154,1411P24A00,1LL031028600,349,446,24,SS400,ZA4D6100,1227,15920,264,75,0.252,1107,836,9.9,3.52,7.576,0.17,0.15,0.37,0.039,0.001,0,0.002,0.02,0.03,0.05,0.01,0.018,0.0024,0.247,0.578166667,271
155,1411P27A00,1LL031028700,329,452,25,SS400,ZA4D6100,1231,16130,264,75,0.264,1129,838,9.9,3.52,7.576,0.17,0.15,0.37,0.039,0.001,0,0.002,0.02,0.03,0.05,0.01,0.018,0.0024,0.247,0.578166667,291
156,1411P31A00,1LL031028800,353,434,23,SS400,ZA4D6100,1231,16331,264,75,0.287,1062,813,9.9,3.52,7.576,0.17,0.15,0.37,0.039,0.001,0,0.002,0.02,0.03,0.05,0.01,0.018,0.0024,0.247,0.578166667,249
157,1411P34A00,1LL031029300,368,468,23,SS400,ZA4D6100,1228,15970,264,75,0.252,1076,828,9.9,3.52,7.576,0.17,0.16,0.36,0.036,0,0,0.003,0.02,0.03,0.04,0.01,0.014,0.0069,0.243333333,0.568,248
158,1411P37C00,1LL031029400,367,443,22.5,SS400,ZA4D6100,1222,16210,264,75,0.255,1073,835,9.9,3.52,7.576,0.17,0.16,0.36,0.036,0,0,0.003,0.02,0.03,0.04,0.01,0.014,0.0069,0.243333333,0.568,238
159,1411P42A00,1LL031029500,351,466,23.5,SS400,ZA4D6100,1230,16197,264,75,0.296,1064,818,9.9,3.52,7.576,0.17,0.16,0.36,0.036,0,0,0.003,0.02,0.03,0.04,0.01,0.014,0.0069,0.243333333,0.568,246
160,1411P48A00,1LL031029900,353,455,22.5,SS400,ZA4D6100,1230,16593,264,75,0.257,1103,832,9.9,3.52,7.576,0.15,0.18,0.35,0.023,0,0,0.002,0.02,0.03,0.05,0.01,0.017,0.0036,0.223666667,0.539166667,271
161,1411P51A00,1LL031030000,385,455,22,SS400,ZA4D6100,1225,15985,264,75,0.298,1048,815,9.9,3.52,7.576,0.15,0.18,0.35,0.023,0,0,0.002,0.02,0.03,0.05,0.01,0.017,0.0036,0.223666667,0.539166667,233
162,1411P60A00,1LL031030100,364,465,20.5,SS400,ZA4D6100,1222,16639,264,75,0.289,1071,821,9.9,3.52,7.576,0.15,0.18,0.35,0.023,0,0,0.002,0.02,0.03,0.05,0.01,0.017,0.0036,0.223666667,0.539166667,250
163,1411P64A00,1LL031030500,330,439,24,SS400,ZA4D6100,1225,16719,264,75,0.263,1100,840,9.9,3.52,7.576,0.17,0.18,0.4,0.037,0.003,0,0.003,0.03,0.03,0.05,0.01,0.01,0.0035,0.252666667,0.609166667,260
164,1411P70A00,1LL031030600,389,476,22.5,SS400,ZA4D6100,1222,16640,264,75,0.29,1088,828,9.9,3.52,7.576,0.17,0.18,0.4,0.037,0.003,0,0.003,0.03,0.03,0.05,0.01,0.01,0.0035,0.252666667,0.609166667,260
165,1411P80A00,1LL031030700,361,449,22,SS400,ZA4D6100,1220,16593,264,75,0.292,1046,808,9.9,3.52,7.576,0.17,0.18,0.4,0.037,0.003,0,0.003,0.03,0.03,0.05,0.01,0.01,0.0035,0.252666667,0.609166667,238
166,1411P84A00,1LL031031100,361,435,22.5,SS400,ZA4D6100,1212,17001,264,75,0.254,1128,843,9.9,3.52,7.576,0.17,0.18,0.36,0.031,0.001,0,0.002,0.02,0.04,0.05,0.01,0.016,0.0066,0.246,0.579166667,285
167,1411P87800,1LL031031200,391,460,23,SS400,ZA4D6100,1196,13389,264,70,0.281,954,821,19.9,3.771,3.518,0.17,0.18,0.36,0.031,0.001,0,0.002,0.02,0.04,0.05,0.01,0.016,0.0066,0.246,0.579166667,133
168,1411P94600,1LL031031300,314,455,31.5,SS400,ZA4D6100,1165,13235,264,90,0.181,908,838,36.1,2.933,2.493,0.17,0.18,0.36,0.031,0.001,0,0.002,0.02,0.04,0.05,0.01,0.016,0.0066,0.246,0.579166667,70
169,1411P96600,1LL031031400,313,449,28,SS400,ZA4D6100,1179,13325,264,90,0.236,914,836,36,2.933,2.5,0.17,0.18,0.36,0.031,0.001,0,0.002,0.02,0.04,0.05,0.01,0.016,0.0066,0.246,0.579166667,78
170,1411P98600,1LL031031900,310,457,30.5,SS400,ZA4D6100,1173,12506,264,89.99,0.179,914,855,36.1,2.934,2.493,0.16,0.18,0.35,0.038,0,0,0.003,0.02,0.03,0.08,0,0.017,0.0025,0.237666667,0.55,59
171,1411P99600,1LL031032000,307,448,31.5,SS400,ZA4D6100,1173,13143,264,90,0.181,915,842,36.1,2.933,2.493,0.16,0.18,0.35,0.038,0,0,0.003,0.02,0.03,0.08,0,0.017,0.0025,0.237666667,0.55,73
172,1411Q01600,1LL031032100,307,445,29,SS400,ZA4D6100,1150,12815,264,90,0.179,900,844,36.1,2.933,2.493,0.16,0.18,0.35,0.038,0,0,0.003,0.02,0.03,0.08,0,0.017,0.0025,0.237666667,0.55,56
173,1411Q09600,1LL031032200,305,451,28,SS400,ZA4D6100,1186,14385,264,100,0.192,904,832,35.7,2.64,2.801,0.16,0.18,0.35,0.038,0,0,0.003,0.02,0.03,0.08,0,0.017,0.0025,0.237666667,0.55,72
174,1411Q10600,1LL031032700,306,442,30,SS400,ZA4D6100,1207,14392,264,100,0.193,907,840,35.7,2.64,2.801,0.17,0.21,0.37,0.029,0,0,0.003,0.02,0.03,0.04,0,0.013,0.0033,0.243,0.579,67
175,1411Q18600,1LL031032800,310,452,29.5,SS400,ZA4D6100,1170,12955,264,89.99,0.179,916,847,36.1,2.934,2.493,0.17,0.21,0.37,0.029,0,0,0.003,0.02,0.03,0.04,0,0.013,0.0033,0.243,0.579,69
176,1411Q20600,1LL031032900,310,454,29,SS400,ZA4D6100,1166,12485,264,90,0.183,915,858,36.1,2.933,2.493,0.17,0.21,0.37,0.029,0,0,0.003,0.02,0.03,0.04,0,0.013,0.0033,0.243,0.579,57
177,1411Q28600,1LL031033500,307,448,29.5,SS400,ZA4D6100,1173,12658,264,90,0.179,911,841,36.1,2.933,2.493,0.17,0.17,0.38,0.038,0.001,0,0.002,0.02,0.04,0.06,0.01,0.018,0.0051,0.251333333,0.599333333,70
178,1411Q34600,1LL031033600,306,451,28.5,SS400,ZA4D6100,1169,13031,264,90,0.179,914,850,36.1,2.933,2.493,0.17,0.17,0.38,0.038,0.001,0,0.002,0.02,0.04,0.06,0.01,0.018,0.0051,0.251333333,0.599333333,64
179,1411Q36600,1LL031033700,321,454,28.5,SS400,ZA4D6100,1168,12754,264,90,0.179,907,841,36.1,2.933,2.493,0.17,0.17,0.38,0.038,0.001,0,0.002,0.02,0.04,0.06,0.01,0.018,0.0051,0.251333333,0.599333333,66
180,1411Q38600,1LL031033800,320,462,30,SS400,ZA4D6100,1167,12718,264,90,0.179,916,846,36.1,2.933,2.493,0.17,0.17,0.38,0.038,0.001,0,0.002,0.02,0.04,0.06,0.01,0.018,0.0051,0.251333333,0.599333333,70
181,1411Q47C00,1LL031034300,395,482,19.5,SS400,ZA4D6100,1199,12607,264,75,0.22,1093,834,9.9,3.52,7.576,0.17,0.16,0.36,0.03,0,0,0.002,0.02,0.03,0.04,0,0.014,0.002,0.241333333,0.567333333,259
182,1411Q39600,1LL031034400,311,448,30,SS400,ZA4D6100,1171,12529,264,90,0.233,915,859,36.1,2.933,2.493,0.17,0.16,0.36,0.03,0,0,0.002,0.02,0.03,0.04,0,0.014,0.002,0.241333333,0.567333333,56
183,1411Q42600,1LL031034500,296,438,29.5,SS400,ZA4D6100,1180,12496,264,90,0.235,915,853,36.1,2.933,2.493,0.17,0.16,0.36,0.03,0,0,0.002,0.02,0.03,0.04,0,0.014,0.002,0.241333333,0.567333333,62
184,1411Q46600,1LL031034600,301,447,29,SS400,ZA4D6100,1167,12420,264,90,0.235,915,846,36.1,2.933,2.493,0.17,0.16,0.36,0.03,0,0,0.002,0.02,0.03,0.04,0,0.014,0.002,0.241333333,0.567333333,69
185,1411Q50A00,1LL031035100,344,460,24.5,SS400,ZA4D6100,1199,12847,264,75,0.25,1088,821,9.9,3.52,7.576,0.16,0.18,0.4,0.032,0.001,0,0.002,0.02,0.03,0.06,0.01,0.015,0.0046,0.244,0.599666667,267
186,1411Q56A00,1LL031035200,392,480,20,SS400,ZA4D6100,1203,12783,264,74.99,0.262,1085,823,9.9,3.52,7.575,0.16,0.18,0.4,0.032,0.001,0,0.002,0.02,0.03,0.06,0.01,0.015,0.0046,0.244,0.599666667,262
187,1411Q60A00,1LL031035300,395,478,20,SS400,ZA4D6100,1206,12769,264,75,0.27,1015,786,9.9,3.52,7.576,0.16,0.18,0.4,0.032,0.001,0,0.002,0.02,0.03,0.06,0.01,0.015,0.0046,0.244,0.599666667,229
188,1411Q89800,1LL031161300,368,470,24,SS400,ZA4D6100,1203,12616,264,70,0.228,985,803,13.9,3.771,5.036,0.15,0.18,0.38,0.032,0.001,0,0.003,0.02,0.05,0.06,0.01,0.016,0.0021,0.232,0.589666667,182
189,1411Q92800,1LL031161400,362,455,21,SS400,ZA4D6100,1170,13179,264,75,0.212,1012,870,13.9,3.52,5.396,0.15,0.18,0.38,0.032,0.001,0,0.003,0.02,0.05,0.06,0.01,0.016,0.0021,0.232,0.589666667,142
190,1411R06800,1LL031161500,336,449,30,SS400,ZA4D6100,1198,14438,264,70,0.26,1014,837,13.7,3.771,5.109,0.15,0.18,0.38,0.032,0.001,0,0.003,0.02,0.05,0.06,0.01,0.016,0.0021,0.232,0.589666667,177
191,1411Q72800,1LL031245000,375,474,23.5,SS400,ZA4D6100,1208,12869,264,75,0.252,1012,844,13.9,3.52,5.396,0.16,0.18,0.4,0.03,0.001,0,0.002,0.03,0.04,0.07,0.01,0.018,0.0035,0.247333333,0.610166667,168
192,1411Q74800,1LL031245100,357,465,24.5,SS400,ZA4D6100,1201,12543,264,70,0.231,1002,819,15.9,3.771,4.403,0.16,0.18,0.4,0.03,0.001,0,0.002,0.03,0.04,0.07,0.01,0.018,0.0035,0.247333333,0.610166667,183
193,1411Q76800,1LL031245200,368,473,25,SS400,ZA4D6100,1204,12512,264,70,0.232,1002,821,15.9,3.771,4.403,0.16,0.18,0.4,0.03,0.001,0,0.002,0.03,0.04,0.07,0.01,0.018,0.0035,0.247333333,0.610166667,181
